 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 667 15 3 ZTF_r 463245865915 0 2.1112 168.358 7.76032 26.0924 9.2023e-06 0.0243734 0.106533 1.29647e-05 435 30. 0.054008 0.053426 20.2172 26.275 1 2458217.7458681 667120259 -6.95084462607591 29.7925538676723 -0.259528256132647 1.12999134332605 14.4898859132077 56.6542400840084 0.257482513345457 1.03443920524314 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 10 667 15 3 ZTF_r 464262265915 0 2.1622 168.4 8.08211 26.0681 1.0422e-05 0.0257019 0.106684 1.4658e-05 431 30. 0.060703 0.053502 20.1417 26.275 2 2458218.7622685 667120259 45.9578589566825 31.917828400349 1.60170028759627 1.04253810179464 27.2390336754898 57.425939137281 0.477527935049246 1.04805469916276 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 11 667 15 3 ZTF_r 465212525915 0 2.6919 168.356 6.22426 26.2143 1.02221e-05 0.0255096 0.11703 1.44335e-05 428 30. 0.068422 0.05679 20.3076 26.275 2 2458219.7125231 667120259 53.0704642041965 32.6370919202697 1.80882367150304 0.873386429424002 99.8560182654519 52.666151494205 1.90878868953882 1.08070046850459 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 12 667 15 3 ZTF_r 468256515915 0 2.933 168.195 6.7637 26.1806 9.675e-06 0.0250163 0.10311 1.38197e-05 432 30. 0.069884 0.057199 20.0702 26.275 2 2458222.7565162 667120259 -77.8182804193464 41.8908779562099 -2.06641225325686 0.874266166498765 -147.94676344321 62.7492031763423 -2.37362684891046 1.08576776949686 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 13 667 15 3 ZTF_r 470172185915 0 2.3388 168.654 21.4873 25.2479 2.48629e-05 0.0394672 0.102125 3.54054e-05 424 30. 0.059993 0.053313 19.0933 26.275 1 2458224.6721875 667120259 -5.15547398240847 94.5944535396677 -0.0606258342612995 0.992177000310735 -89.1228767771497 172.250309885603 -0.520888029400402 1.05355736449976 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 14 667 15 3 ZTF_r 470189575915 0 1.7751 168.505 12.928 25.6503 1.35443e-05 0.0294014 0.113353 1.92612e-05 431 30. 0.063686 0.052851 19.7811 26.275 1 2458224.6895718 667120259 2.75634386811096 49.3393018798736 0.0621434267896969 1.02624344699632 -21.8316691793939 92.4256363613356 -0.237798814189118 1.04107208165306 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 15 667 15 3 ZTF_r 470230115915 0 1.9858 168.46 9.70399 25.905 1.10564e-05 0.0266406 0.108814 1.56892e-05 432 30. 0.05946 0.053107 20.0343 26.275 2 2458224.7301157 667120259 40.3359576093707 42.7046402850179 1.05068396661154 0.975320513644658 -5.31089903597979 77.4099580721643 -0.0690695148234656 1.04746530179557 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 16 667 15 3 ZTF_g 475160255915 0 2.8974 94.0317 6.18783 26.3771 2.17074e-05 0.0371535 -0.127853 3.16217e-05 424 30. 0.065181 0.05536 20.2571 26.3771 1 2458229.6602546 667120159 -21.837389511731 32.7020976187611 -0.742813710472986 0.93553708177308 -28.6335063099897 52.1476416853007 -0.552783475739406 1.05636033027486 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 17 667 15 3 ZTF_r 475190575915 0 2.3758 168.568 7.13888 26.2319 8.7344e-06 0.023735 0.0985115 1.2412e-05 433 30. 0.066482 0.059516 20.1623 26.275 1 2458229.6905787 667120259 3.19497949535432 34.7790058134437 0.102189367998307 0.935141197495947 39.559636153688 60.7833120562082 0.655213926849113 1.03875576650407 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 18 667 15 3 ZTF_g 479225415915 0 1.894 94.3691 12.9758 26.3372 1.76462e-05 0.0327572 -0.0670537 2.8471e-05 384 30. 0.060734 0.051223 19.7986 26.3372 1 2458233.7254167 667120159 -46.9510182558654 55.7911246644523 -0.936126846843101 0.94384749023075 89.5043381769372 106.511237219041 0.845987309854239 1.05805312970432 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
